problem_id,task_id,model_name,instruction_pssi,paraphrase_pssi,difference_paraphrase_minus_instruction
humaneval_000,HumanEval/0,claude_model,0.6277073407710537,0.0384290111060336,-0.5892783296650201
humaneval_000,HumanEval/0,deepseek_model,0.3486294638345927,0.4874749293760108,0.13884546554141808
humaneval_000,HumanEval/0,gpt5_model,0.7591414525336252,0.4367799135370929,-0.3223615389965323
humaneval_001,HumanEval/1,claude_model,0.7709391566594959,0.0,-0.7709391566594959
humaneval_001,HumanEval/1,deepseek_model,0.7602179482680296,0.5160103666145229,-0.24420758165350664
humaneval_001,HumanEval/1,gpt5_model,0.5361090899093077,0.4348173795897347,-0.10129171031957301
humaneval_002,HumanEval/2,claude_model,0.7679189705767737,0.1481681065847174,-0.6197508639920564
humaneval_002,HumanEval/2,deepseek_model,0.4042050914871809,0.2672604645363298,-0.13694462695085113
humaneval_002,HumanEval/2,gpt5_model,0.7334515288717227,0.636555246385746,-0.0968962824859767
humaneval_003,HumanEval/3,claude_model,0.0699138737228032,0.0,-0.0699138737228032
humaneval_003,HumanEval/3,deepseek_model,0.0,0.0,0.0
humaneval_003,HumanEval/3,gpt5_model,1.120643076291184,1.0022569682416609,-0.11838610804952321
humaneval_004,HumanEval/4,claude_model,0.930654216938899,0.0,-0.930654216938899
humaneval_004,HumanEval/4,deepseek_model,1.2944269528691197,0.0,-1.2944269528691197
humaneval_004,HumanEval/4,gpt5_model,1.6281243225271065,0.7106506980115066,-0.9174736245155999
humaneval_005,HumanEval/5,claude_model,0.0336014210206835,0.0221668603105331,-0.011434560710150404
humaneval_005,HumanEval/5,deepseek_model,0.4679331782320009,0.0,-0.4679331782320009
humaneval_005,HumanEval/5,gpt5_model,0.8573595708341843,0.5798356585975311,-0.2775239122366533
humaneval_006,HumanEval/6,claude_model,1.7530099567167698,1.357739549560208,-0.3952704071565618
humaneval_006,HumanEval/6,deepseek_model,0.0164380750869744,0.0,-0.0164380750869744
humaneval_006,HumanEval/6,gpt5_model,0.379974546517529,0.3821306385148056,0.0021560919972766213
humaneval_007,HumanEval/7,claude_model,0.7000614304464684,0.0,-0.7000614304464684
humaneval_007,HumanEval/7,deepseek_model,0.7744569693870607,0.0,-0.7744569693870607
humaneval_007,HumanEval/7,gpt5_model,1.22920172133952,0.6640146261017903,-0.5651870952377298
humaneval_008,HumanEval/8,claude_model,0.64934063191737,0.0035289973494997,-0.6458116345678703
humaneval_008,HumanEval/8,deepseek_model,0.6030648751434715,0.0,-0.6030648751434715
humaneval_008,HumanEval/8,gpt5_model,0.7155183255251436,0.4294974011875734,-0.2860209243375702
humaneval_009,HumanEval/9,claude_model,0.6503207074303884,0.0,-0.6503207074303884
humaneval_009,HumanEval/9,deepseek_model,0.0227992174652714,0.0,-0.0227992174652714
humaneval_009,HumanEval/9,gpt5_model,0.5382275670293369,0.414272570927494,-0.12395499610184296
humaneval_010,HumanEval/10,claude_model,0.2994012159346294,0.0,-0.2994012159346294
humaneval_010,HumanEval/10,deepseek_model,0.4191701134049658,0.0734097267158633,-0.3457603866891025
humaneval_010,HumanEval/10,gpt5_model,0.5894887318716419,0.2888497752574332,-0.30063895661420864
humaneval_011,HumanEval/11,claude_model,0.5588046620478739,0.256261833440412,-0.30254282860746196
humaneval_011,HumanEval/11,deepseek_model,0.4799541295610755,0.0,-0.4799541295610755
humaneval_011,HumanEval/11,gpt5_model,1.576798448444254,0.8515064531255121,-0.725291995318742
humaneval_012,HumanEval/12,claude_model,1.5999828344450386,0.0,-1.5999828344450386
humaneval_012,HumanEval/12,deepseek_model,0.5566891962167262,0.025626715862433,-0.5310624803542932
humaneval_012,HumanEval/12,gpt5_model,0.6700122201588143,0.2986075327219507,-0.37140468743686367
humaneval_013,HumanEval/13,claude_model,0.777168180284509,0.0451910789113055,-0.7319771013732035
humaneval_013,HumanEval/13,deepseek_model,0.3570191159819205,0.0208697601875588,-0.33614935579436167
humaneval_013,HumanEval/13,gpt5_model,1.054847735463906,0.7518321393311849,-0.3030155961327212
humaneval_014,HumanEval/14,claude_model,0.7075538092524714,0.0,-0.7075538092524714
humaneval_014,HumanEval/14,deepseek_model,0.7062320561821694,0.0,-0.7062320561821694
humaneval_014,HumanEval/14,gpt5_model,0.9420611328422356,0.4600149405908838,-0.48204619225135176
humaneval_015,HumanEval/15,claude_model,1.0053261538346827,0.0,-1.0053261538346827
humaneval_015,HumanEval/15,deepseek_model,0.0320195200601756,0.0,-0.0320195200601756
humaneval_015,HumanEval/15,gpt5_model,0.8158099434822981,0.4243397529526372,-0.39147019052966087
humaneval_016,HumanEval/16,claude_model,0.8710346094102436,0.0942748410274863,-0.7767597683827573
humaneval_016,HumanEval/16,deepseek_model,0.0762163236626361,0.0,-0.0762163236626361
humaneval_016,HumanEval/16,gpt5_model,0.9961449270269134,0.5273934775083474,-0.46875144951856595
humaneval_017,HumanEval/17,claude_model,0.870839108917132,0.0997665987905795,-0.7710725101265525
humaneval_017,HumanEval/17,deepseek_model,1.8222787845298607,0.6839318570318736,-1.1383469274979872
humaneval_017,HumanEval/17,gpt5_model,0.9651926785357576,0.770252007029608,-0.19494067150614958
humaneval_018,HumanEval/18,claude_model,1.0119798279634755,0.0044333720621066,-1.007546455901369
humaneval_018,HumanEval/18,deepseek_model,0.4588912932971127,0.0077383499873826,-0.4511529433097301
humaneval_018,HumanEval/18,gpt5_model,1.5265719431746505,0.3947021960393576,-1.131869747135293
humaneval_019,HumanEval/19,claude_model,1.0365735838877512,0.028996687077453,-1.0075768968102983
humaneval_019,HumanEval/19,deepseek_model,0.0252824665879062,0.3806643877611922,0.35538192117328604
humaneval_019,HumanEval/19,gpt5_model,0.817639872762579,0.4268924122441556,-0.3907474605184234
humaneval_020,HumanEval/20,claude_model,0.6837539218925297,0.4549318181991656,-0.2288221036933641
humaneval_020,HumanEval/20,deepseek_model,0.2988150845512468,0.0,-0.2988150845512468
humaneval_020,HumanEval/20,gpt5_model,0.6792188606887503,0.3085660639677504,-0.3706527967209999
humaneval_021,HumanEval/21,claude_model,0.0554014695930547,0.013233740060624,-0.0421677295324307
humaneval_021,HumanEval/21,deepseek_model,0.0371495186697381,0.0904323745524848,0.053282855882746706
humaneval_021,HumanEval/21,gpt5_model,1.3920216274467532,0.2448185234259852,-1.147203104020768
humaneval_022,HumanEval/22,claude_model,0.7443169061576996,0.048385234608268,-0.6959316715494316
humaneval_022,HumanEval/22,deepseek_model,0.6092284113448698,0.0928027372947118,-0.516425674050158
humaneval_022,HumanEval/22,gpt5_model,0.8188374413085471,0.4831160293821378,-0.33572141192640925
humaneval_023,HumanEval/23,claude_model,0.5941569433949893,0.0,-0.5941569433949893
humaneval_023,HumanEval/23,deepseek_model,0.5941569433949893,0.0,-0.5941569433949893
