problem_id,task_id,model_name,model_id,provider,prompt_name,num_samples,num_valid_vectors,num_pairs,avg_repeat_distance,stability_score,ssi,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,basic,5,5,10,0.04160874655399692,0.9600533821440602,0.9600533821440602,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,concise,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,constraint,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,optimized,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,readable,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,basic,5,5,10,0.3586529307215149,0.736023142767556,0.736023142767556,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,concise,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,constraint,5,5,10,0.7317026510547432,0.5774663446931384,0.5774663446931384,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,optimized,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-chat,deepseek,readable,5,5,10,0.025670954632978183,0.9749715495822302,0.9749715495822302,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,basic,5,5,10,0.6379698348529669,0.6105118535896392,0.6105118535896392,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,concise,5,5,10,0.6526924198464196,0.6050732658971882,0.6050732658971882,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,constraint,5,5,10,0.7098265599881683,0.5848546416350673,0.5848546416350673,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,optimized,5,5,10,1.2300638096101744,0.44841766217209933,0.44841766217209933,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,readable,5,5,10,1.277892156183826,0.4390023457806314,0.4390023457806314,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,basic,5,5,10,0.0,1.0,1.0,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,concise,5,5,10,0.05712730677170088,0.9459598608362898,0.9459598608362898,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,constraint,5,5,10,0.0,1.0,1.0,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,optimized,5,5,10,0.5015327469268769,0.6659861411924964,0.6659861411924964,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,readable,5,5,10,0.0,1.0,1.0,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,basic,5,5,10,0.3631579313038147,0.7335907139120217,0.7335907139120217,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,concise,5,5,10,0.0,1.0,1.0,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,constraint,5,5,10,0.7139254831739149,0.583455937738997,0.583455937738997,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,optimized,5,5,10,0.587964550531465,0.6297369797488973,0.6297369797488973,1.0
humaneval_001,HumanEval/1,deepseek_model,deepseek-chat,deepseek,readable,5,5,10,0.08226723458048014,0.9239862097346322,0.9239862097346322,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,basic,5,5,10,0.6437562448865458,0.6083627077377408,0.6083627077377408,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,concise,5,5,10,0.5752129593812579,0.6348347974440224,0.6348347974440224,1.0
humaneval_001,HumanEval/1,gpt5_model,gpt-5-mini,openai,constraint,5,5,10,1.1919249729656851,0.45621999490566284,0.45621999490566284,1.0
