problem_id,model_name,prompt_name,num_valid_trees,num_pairs,avg_normalized_tree_edit_distance,tree_edit_stability
humaneval_000,claude_model,basic,5,10,0.030000000000000006,0.97
humaneval_000,claude_model,concise,5,10,0.0,1.0
humaneval_000,claude_model,constraint,5,10,0.0,1.0
humaneval_000,claude_model,optimized,5,10,0.0,1.0
humaneval_000,claude_model,readable,5,10,0.0,1.0
humaneval_000,deepseek_model,basic,5,10,0.09,0.91
humaneval_000,deepseek_model,concise,5,10,0.0,1.0
humaneval_000,deepseek_model,constraint,5,10,0.16,0.84
humaneval_000,deepseek_model,optimized,5,10,0.0,1.0
humaneval_000,deepseek_model,readable,5,10,0.021052631578947368,0.9789473684210527
humaneval_000,gpt5_model,basic,5,10,0.1861244019138756,0.8138755980861244
humaneval_000,gpt5_model,concise,5,10,0.2579365079365079,0.7420634920634921
humaneval_000,gpt5_model,constraint,5,10,0.28562216036602783,0.7143778396339722
humaneval_000,gpt5_model,optimized,5,10,0.3969583931133429,0.6030416068866571
humaneval_000,gpt5_model,readable,5,10,0.5526595963332922,0.4473404036667078
humaneval_001,claude_model,basic,5,10,0.0,1.0
humaneval_001,claude_model,concise,5,10,0.08484848484848485,0.9151515151515152
humaneval_001,claude_model,constraint,5,10,0.0,1.0
humaneval_001,claude_model,optimized,5,10,0.22857142857142856,0.7714285714285715
humaneval_001,claude_model,readable,5,10,0.0,1.0
humaneval_001,deepseek_model,basic,5,10,0.1875746714456392,0.8124253285543608
humaneval_001,deepseek_model,concise,5,10,0.0,1.0
humaneval_001,deepseek_model,constraint,5,10,0.1658874458874459,0.8341125541125541
humaneval_001,deepseek_model,optimized,5,10,0.3434101382488479,0.6565898617511521
humaneval_001,deepseek_model,readable,5,10,0.1484848484848485,0.8515151515151516
humaneval_001,gpt5_model,basic,5,10,0.1890657780765918,0.8109342219234081
humaneval_001,gpt5_model,concise,5,10,0.17048313321898229,0.8295168667810178
humaneval_001,gpt5_model,constraint,5,10,0.3659898754823567,0.6340101245176433
humaneval_001,gpt5_model,optimized,5,10,0.3022076171216717,0.6977923828783283
humaneval_001,gpt5_model,readable,5,10,0.5581111990391298,0.44188880096087024
humaneval_002,claude_model,basic,5,10,0.0,1.0
humaneval_002,claude_model,concise,5,10,0.0,1.0
humaneval_002,claude_model,constraint,5,10,0.0,1.0
humaneval_002,claude_model,optimized,5,10,0.0,1.0
humaneval_002,claude_model,readable,5,10,0.0,1.0
humaneval_002,deepseek_model,basic,5,10,0.0,1.0
humaneval_002,deepseek_model,concise,5,10,0.0,1.0
humaneval_002,deepseek_model,constraint,5,10,0.0,1.0
humaneval_002,deepseek_model,optimized,5,10,0.0,1.0
humaneval_002,deepseek_model,readable,5,10,0.0,1.0
