problem_id,task_id,model_name,model_id,provider,prompt_name,num_samples,num_valid_vectors,num_pairs,avg_repeat_distance,stability_score,ssi,success_rate
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,5,5,10,0.027449293647166906,0.9732840405683386,0.9732840405683386,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,5,5,10,0.027449293647166906,0.9732840405683386,0.9732840405683386,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,paraphrase_d,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,claude_model,claude-sonnet-4-6,anthropic,paraphrase_e,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,paraphrase_a,5,5,10,0.0,1.0,1.0,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,paraphrase_b,5,5,10,0.6234150078308783,0.61598543513291,0.61598543513291,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,paraphrase_c,5,5,10,0.48623946510786153,0.6728390837928844,0.6728390837928844,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,paraphrase_d,5,5,10,0.7724249662911917,0.56419877795589,0.56419877795589,1.0
humaneval_000,HumanEval/0,deepseek_model,deepseek-flash,deepseek,paraphrase_e,5,5,10,0.6932899498729703,0.590566311502067,0.590566311502067,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,paraphrase_a,5,5,10,0.8017269501267142,0.5550230571450745,0.5550230571450745,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,paraphrase_b,5,5,10,0.3182446374259444,0.7585845385668617,0.7585845385668617,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,paraphrase_c,5,5,10,0.3539175517122542,0.738597412180183,0.738597412180183,0.8
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,paraphrase_d,5,5,10,0.34739115231231976,0.7421749788722111,0.7421749788722111,1.0
humaneval_000,HumanEval/0,gpt5_model,gpt-5-mini,openai,paraphrase_e,5,5,10,0.8987491746851107,0.5266625067346457,0.5266625067346457,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,paraphrase_a,5,5,10,0.0,1.0,1.0,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,paraphrase_b,5,5,10,0.0,1.0,1.0,1.0
humaneval_001,HumanEval/1,claude_model,claude-sonnet-4-6,anthropic,paraphrase_c,5,5,10,0.0,1.0,1.0,1.0
